line,id,N,E,Z,alt,TxRoll,TxPitch,TxYaw,RxRoll,RxPith,RxYaw,Off[0],Off[1],Off[2],Off[3],Off[4],Off[5],Off[6],Off[7],Off[8],Off[9],Off[10],Off[11],Off[12],Off[13],Off[14],Off[15],Off[16],Off[17],Off[18],Off[19],Off[20],Off[21],Off[22],Off[23],Off[24],Off[25],Off[26],Off[27],Off[28],Off[29],Off[30],Off[31],Off[32],Off[33]
100101,     154.0,  431112.2,4194346.5, 2304.0, 36.7, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.5959e-11, 3.5732e-11, 2.3111e-11, 1.4331e-11, 9.0570e-12, 5.7224e-12, 3.6334e-12, 2.3387e-12, 1.3843e-12, 8.5261e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     155.0,  431140.7,4194354.0, 2304.1, 37.1, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.4561e-11, 3.4844e-11, 2.2427e-11, 1.4018e-11, 8.7940e-12, 5.5480e-12, 3.4746e-12, 2.2063e-12, 1.3409e-12, 8.1598e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     156.0,  431168.1,4194364.0, 2304.4, 37.7, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.2220e-11, 3.3313e-11, 2.1232e-11, 1.3852e-11, 8.7192e-12, 5.4657e-12, 3.3943e-12, 2.1476e-12, 1.3343e-12, 8.1446e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     157.0,  431194.8,4194376.0, 2304.9, 37.5, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.0916e-11, 3.2509e-11, 2.1067e-11, 1.3539e-11, 8.4545e-12, 5.2598e-12, 3.2102e-12, 2.0247e-12, 1.3519e-12, 8.2582e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     158.0,  431221.1,4194389.0, 2304.5, 36.4, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.1406e-11, 3.2789e-11, 2.1570e-11, 1.3589e-11, 8.5077e-12, 5.2656e-12, 3.2301e-12, 2.0592e-12, 1.2684e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     159.0,  431245.5,4194400.5, 2304.2, 34.9, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.3561e-11, 3.5068e-11, 2.2443e-11, 1.4144e-11, 8.7728e-12, 5.4268e-12, 3.3481e-12, 2.1575e-12, 1.3462e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     160.0,  431271.2,4194411.0, 2304.5, 33.3, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.6307e-11, 3.6505e-11, 2.3343e-11, 1.4678e-11, 9.1017e-12, 5.6439e-12, 3.5886e-12, 2.2842e-12, 1.4674e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     161.0,  431297.6,4194420.5, 2305.0, 32.1, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.8724e-11, 3.7785e-11, 2.4133e-11, 1.5210e-11, 9.4066e-12, 5.8671e-12, 3.7873e-12, 2.4509e-12, 1.6008e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     162.0,  431323.9,4194428.0, 2305.0, 31.6, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.1240e-11, 3.8820e-11, 2.4771e-11, 1.5669e-11, 9.8957e-12, 6.1261e-12, 3.9377e-12, 2.5762e-12, 1.7093e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     163.0,  431350.6,4194434.5, 2305.0, 31.1, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.2426e-11, 3.9579e-11, 2.5297e-11, 1.6047e-11, 1.0156e-11, 6.3926e-12, 4.0366e-12, 2.6620e-12, 1.7762e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     164.0,  431377.5,4194442.0, 2305.0, 31.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.3334e-11, 4.0156e-11, 2.5730e-11, 1.6390e-11, 1.0360e-11, 6.4726e-12, 4.0729e-12, 2.6793e-12, 1.7861e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     165.0,  431404.8,4194449.5, 2305.0, 31.3, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.3844e-11, 4.0545e-11, 2.6028e-11, 1.6573e-11, 1.0441e-11, 6.5394e-12, 4.0700e-12, 2.6630e-12, 1.7648e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     166.0,  431430.8,4194459.0, 2305.0, 31.3, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.4025e-11, 4.0708e-11, 2.6141e-11, 1.6586e-11, 1.0366e-11, 6.5142e-12, 4.0912e-12, 2.6824e-12, 1.7374e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     167.0,  431455.9,4194469.5, 2305.0, 30.5, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.3984e-11, 4.0708e-11, 2.6155e-11, 1.6868e-11, 1.0482e-11, 6.5331e-12, 4.0561e-12, 2.6013e-12, 1.6903e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     168.0,  431481.0,4194480.5, 2305.0, 29.5, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.6848e-11, 4.1911e-11, 2.6963e-11, 1.7290e-11, 1.0704e-11, 6.5776e-12, 4.0118e-12, 2.5476e-12, 1.6778e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     169.0,  431507.1,4194490.5, 2305.1, 28.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 7.0733e-11, 4.5079e-11, 2.8436e-11, 1.7886e-11, 1.1087e-11, 6.7896e-12, 4.1717e-12, 2.5666e-12, 1.6072e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     170.0,  431534.3,4194499.5, 2305.3, 27.3, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 7.1114e-11, 4.5447e-11, 2.9148e-11, 1.8346e-11, 1.1385e-11, 6.9428e-12, 4.2429e-12, 2.6091e-12, 1.6553e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
